NO,ê\çûîNåéì˙,ê\çûéûä‘,Åyî}ëÃÉRÅ[ÉhÅzëÂçÄñ⁄,Åyî}ëÃÉRÅ[ÉhÅzè⁄ç◊çÄñ⁄,éÛïtéûä‘ë—ãÊï™,éÛïtå`ë‘ãÊï™,êVãKéûé©ìÆå_ñÒã@ìXî‘,éÊàµìXî‘,ä«óùìXî‘,ê´ï ,îNóÓ,ê∂îNåéì˙,ÇiÇhÇrèZèäÉRÅ[Éh,ì∆ä˘ãÊï™,êVêEéÌãÊï™,ÅyêVêEéÌãÊï™ÅzëÂçÄñ⁄,ÅyêVêEéÌãÊï™Åzè⁄ç◊çÄñ⁄,åŸópå`ë‘ãÊï™,èAã∆å`ë‘ãÊï™,âÔé–ãKñÕãÊï™,çáåvîNé˚,ç›é–åéêî,èZãèãÊï™,ãèèZåéêî,â∆í¿ïâíSäz,â∆ë∞ç\ê¨ãÊï™,ï€åØêEéÌãÊï™,é˚ì¸èÿñæóLñ≥,ì∆êgì‡ñÛ,ìØãèãÊï™,ï}ó{â∆ë∞êî,ï}ó{â∆ë∞éqãüêî,èäìæèÿñæãÊï™,ñºã`ãÊï™,éñã∆å`ë‘ãÊï™,éñã∆èäóLñ≥,ë›ïtîNåéì˙,ÇPÇQÉñåééñåÃ
1008008,2017/6/9,222209,5,99,0,1,396,396,228,2,46,1970/10/25,12208,1,640,6,640,2,1,6,3000000,4,8,382,0,4,1,0,0,1,0,0,0,3,0,0,2017/6/10,0
1008009,2017/6/14,101402,4,2,0,502,0,4230,228,1,47,1970/5/1,11105,2,108,1,108,1,1,9,6127000,78,4,218,70000,3,4,0,0,2,4,2,0,0,9,0,2017/7/31,0
1008010,2017/6/15,181711,5,99,0,1,1564,1564,228,1,49,1968/5/24,11218,2,640,6,640,4,1,2,2400000,83,2,279,60000,2,3,0,0,1,2,1,0,2,0,0,2017/6/19,0
1008011,2017/6/12,220918,1,99,0,1701,0,228,228,2,20,1997/3/3,11223,1,540,5,540,4,1,4,1600000,13,4,95,65000,4,3,0,0,1,0,0,0,0,0,0,2017/6/19,0
1008012,2017/6/17,144035,1,99,1,5,1929,1929,228,1,26,1991/1/19,8203,1,640,6,640,2,1,3,6000000,50,7,50,3000,4,1,0,0,1,0,0,0,0,0,0,2017/6/17,0
1008013,2017/6/18,124156,1,99,3,1701,394,394,228,1,25,1991/7/17,13107,1,631,6,631,2,1,4,3000000,13,8,311,0,4,3,0,0,1,0,0,0,3,0,0,2017/6/18,1
1008014,2017/6/14,162758,4,2,1,600,0,228,228,1,23,1993/10/27,11208,1,540,5,540,5,2,3,1030000,35,4,2,45000,4,3,0,0,1,0,0,0,0,0,0,2017/6/24,0
1008015,2017/6/28,150449,3,27,0,1801,0,228,228,1,20,1996/8/8,11215,1,540,5,540,4,1,2,2000000,31,1,50,0,4,3,0,0,1,0,0,0,2,0,0,2017/6/29,1
1008016,2017/7/4,103608,3,2,0,502,0,228,228,2,55,1961/10/24,11214,1,140,1,140,4,1,8,2800000,13,2,217,50000,5,3,0,0,2,0,0,0,1,0,0,2017/7/4,0
1008017,2017/7/4,145128,3,8,0,502,0,228,228,1,58,1958/12/8,11221,2,715,7,715,2,1,6,3820000,21,4,93,60000,2,1,0,0,1,2,0,0,0,0,0,2017/7/5,0
1008018,2017/7/7,133531,3,5,0,1701,0,228,228,1,20,1997/7/5,11230,1,540,5,540,4,1,6,1030000,10,1,240,0,4,3,0,0,1,0,0,0,2,0,0,2017/7/7,0
1008020,2017/7/9,153801,3,27,3,502,0,228,228,1,24,1993/5/18,11230,1,640,6,640,2,3,2,2800000,13,1,59,0,4,1,0,0,1,0,0,0,2,0,0,2017/7/11,0
1008021,2017/7/11,110729,3,24,0,1801,0,228,228,1,38,1978/11/1,11365,1,540,5,540,4,1,9,2500000,72,1,464,0,4,3,0,0,1,0,0,0,2,0,0,2017/7/12,1
1008023,2017/7/19,123637,3,15,0,1801,0,228,228,1,43,1974/4/11,11110,1,525,5,525,2,1,5,4800000,80,7,80,68000,5,3,0,0,2,0,0,0,0,0,0,2017/7/20,0
1008024,2017/7/23,152253,5,99,3,1,3195,3195,228,2,45,1971/11/8,11109,2,540,5,540,4,1,2,1500000,26,4,98,55000,1,3,0,0,1,1,0,0,0,0,0,2017/7/23,0
1008025,2017/7/23,200813,5,99,3,1,2927,2927,228,1,66,1951/7/17,11203,1,1504,15,1504,2,1,7,3000000,158,4,103,29000,5,3,0,0,2,0,0,0,0,0,0,2017/7/23,0
1008026,2017/7/20,223207,1,99,0,1701,0,228,228,1,21,1996/5/18,11203,1,423,4,423,1,1,9,3600000,9,4,9,70000,5,4,0,0,2,0,0,0,0,9,0,2017/7/25,0
1008027,2017/7/30,105125,5,99,3,1,1936,1936,228,1,55,1961/9/30,11203,2,740,7,740,2,1,5,2800000,129,4,88,78000,2,1,0,0,1,3,2,0,0,0,0,2017/7/30,0
1008028,2017/7/31,171829,3,8,0,1701,0,228,228,2,20,1997/4/13,11203,1,540,5,540,4,1,3,360000,5,8,209,0,4,3,0,0,1,0,0,0,3,0,0,2017/8/1,0
1008029,2017/8/3,102200,1,99,0,1,2606,2606,228,1,57,1960/4/26,11201,2,640,6,640,2,1,4,4800000,461,2,292,120000,1,1,0,0,1,1,0,0,1,0,0,2017/8/3,0
1008031,2017/8/8,185412,4,2,0,1801,0,228,228,2,40,1976/12/17,11228,1,140,1,140,2,1,2,3500000,63,1,436,0,4,1,0,0,1,0,0,0,2,0,0,2017/8/9,0
1008032,2017/8/8,165527,3,22,0,1801,0,228,228,2,24,1993/2/18,11239,2,540,5,540,4,1,6,1200000,0,4,20,0,3,3,0,0,1,5,2,0,0,0,0,2017/8/9,0
1008033,2017/8/8,225449,3,2,0,1701,0,228,228,2,21,1996/6/12,11222,1,540,5,540,4,1,3,900000,3,8,254,0,4,3,0,0,1,0,0,0,3,0,0,2017/8/13,0
1008034,2017/8/8,172616,3,2,0,502,1831,1831,228,1,59,1958/7/8,11222,2,640,6,640,4,1,6,1158000,8,1,20,0,2,3,1,0,1,2,1,2,2,0,0,2017/8/9,0
1008037,2017/8/10,152637,4,99,0,502,0,228,228,1,51,1966/2/28,11227,1,1240,12,1240,2,1,6,3800000,122,4,148,80000,5,1,0,0,2,0,0,0,0,0,0,2017/8/18,0
1008038,2017/8/11,122319,1,99,3,1701,0,228,228,1,20,1997/8/11,11217,1,631,6,631,2,1,6,2840000,16,1,160,0,4,1,0,0,1,5,0,0,2,0,0,2017/8/11,0
1008039,2017/8/14,132955,1,99,0,1701,0,228,228,1,25,1994/6/17,11208,1,540,5,540,4,1,3,2100000,71,8,209,0,4,3,0,0,1,0,0,0,3,0,0,2017/8/14,0
1008040,2017/8/14,180529,1,99,0,1,2927,2927,228,2,38,1978/9/29,11224,1,640,6,640,4,1,3,2000000,1,9,79,1000,4,3,0,0,1,0,0,0,3,0,0,2017/8/21,0
1008041,2017/8/15,102925,1,99,0,1701,0,228,228,2,23,1994/4/9,11208,2,240,2,240,2,1,3,1500000,0,8,24,0,3,1,0,0,1,4,2,0,3,0,0,2017/8/17,0
1008043,2017/8/14,130545,4,2,0,1701,0,228,228,1,40,1976/10/1,11221,1,209,2,209,2,1,7,3500000,6,4,17,50000,5,3,0,0,2,0,0,0,0,0,0,2017/8/16,0
1008044,2017/8/16,115134,1,99,0,101,2815,2815,228,1,25,1991/9/24,11102,1,640,6,640,2,1,8,3000000,16,8,122,0,4,1,0,0,1,0,0,0,3,0,0,2017/8/16,0
1008045,2017/8/18,173011,5,99,0,1,1929,1929,228,1,63,1954/4/29,11103,1,640,6,640,4,1,6,2400000,184,2,345,60000,5,3,0,0,2,0,0,0,1,0,0,2017/8/24,0
1008046,2017/8/19,115023,5,99,1,1,2823,2823,228,2,54,1963/2/9,11227,1,1501,15,1501,1,1,9,1100000,171,4,292,0,5,4,0,0,2,0,0,0,0,9,0,2017/8/21,0
1008047,2017/8/18,125827,3,24,0,1801,0,4226,228,1,26,1991/8/30,11235,1,640,6,640,2,1,5,4000000,41,4,41,58000,5,1,0,0,2,0,0,0,0,0,0,2017/9/13,0
1008048,2017/8/21,14525,3,2,0,1701,0,228,228,1,23,1994/5/3,11211,1,640,6,640,2,2,3,1900000,2,8,279,0,4,1,0,0,1,0,0,0,3,0,0,2017/8/21,0
1008051,2017/8/26,125042,1,99,1,1,1217,1217,228,1,48,1969/1/3,10206,2,640,6,640,2,1,6,3000000,267,2,142,60000,2,1,0,0,1,3,2,0,1,0,0,2017/8/26,0
1008052,2017/8/26,24007,3,5,1,502,0,228,228,1,20,1997/8/4,11208,1,640,6,640,5,2,5,900000,0,8,240,0,4,3,0,0,1,0,0,0,3,0,0,2017/8/27,0
1008053,2017/8/27,104746,1,99,3,502,0,228,228,1,53,1963/10/3,11203,1,240,2,240,2,1,7,3600000,37,4,85,97000,5,1,0,0,2,0,0,0,0,0,0,2017/8/27,0
1008054,2017/8/27,171218,3,2,3,1801,2855,2855,228,2,23,1994/6/23,11230,2,110,1,110,2,1,8,3000000,42,4,42,100000,3,3,0,0,1,4,2,0,0,0,0,2017/8/27,0
1008056,2017/8/30,162728,3,15,0,1701,0,228,228,1,22,1994/12/17,11221,1,1328,13,1328,2,1,7,3360000,20,4,8,61000,5,1,0,0,2,0,0,0,0,0,0,2017/8/31,1
1008057,2017/8/31,64309,3,2,0,1701,0,4183,228,2,39,1977/9/18,11109,2,840,8,840,2,1,3,6220000,221,4,93,120000,2,1,1,0,1,3,2,1,0,0,0,2017/9/9,0
1008058,2017/8/29,215740,5,99,0,1,228,228,228,1,21,1996/5/30,11103,1,940,9,940,2,1,9,2400000,4,8,255,0,4,1,0,0,1,0,0,0,3,0,0,2017/8/31,0
1008059,2017/8/31,122738,3,8,0,1801,248,248,228,2,28,1988/11/18,11103,1,540,5,540,4,1,7,3240000,19,4,79,100000,5,3,0,0,2,0,0,0,0,0,0,2017/8/31,0
1008060,2017/8/28,121710,3,8,0,1801,0,228,228,1,27,1990/2/15,11235,1,311,3,311,3,1,6,2000000,7,4,248,60000,4,3,0,0,1,0,0,0,0,0,0,2017/9/4,0
1008061,2017/9/2,190139,3,2,1,1701,0,228,228,1,26,1991/4/24,11216,1,1340,13,1340,2,1,3,3000000,38,8,29,0,4,1,0,0,1,0,0,0,3,0,0,2017/9/6,0
1008062,2017/8/31,221906,4,2,0,1801,0,4182,228,2,25,1992/5/25,11224,2,525,5,525,4,1,3,1080000,12,8,36,0,1,3,0,0,1,1,0,0,3,0,0,2018/4/3,0
1008064,2017/9/8,204746,3,13,0,1801,232,232,228,1,25,1992/4/6,14107,2,640,6,640,2,1,5,4058000,77,2,61,60000,2,1,1,0,1,3,1,8,1,0,0,2017/9/9,0
1008065,2017/9/9,150001,5,99,1,1,1285,1285,228,1,68,1949/3/19,11239,1,308,3,308,1,1,9,2000000,14,8,20,0,4,4,0,0,1,0,0,0,3,9,0,2017/9/9,0
1008066,2017/9/12,141456,1,99,0,1801,0,228,228,1,53,1963/10/19,11223,2,740,7,740,4,1,6,3000000,34,4,36,60000,2,3,0,0,1,3,1,0,0,0,0,2017/9/13,0
1008067,2017/9/13,55034,4,2,0,502,0,228,228,1,22,1995/9/5,11230,1,640,6,640,5,2,6,1200000,14,8,133,0,4,3,0,0,1,0,0,0,3,0,0,2017/9/13,0
1008068,2017/9/15,115208,3,15,0,1701,0,228,228,1,20,1997/5/21,11201,1,423,4,423,4,1,3,500000,31,8,244,0,4,3,0,0,1,0,0,0,3,0,0,2017/9/15,0
1008069,2017/9/15,94257,1,99,0,1801,0,228,228,2,23,1994/8/26,11104,2,540,5,540,4,1,4,1200000,6,4,26,0,2,1,0,0,1,3,1,0,0,0,0,2017/9/15,1
1008071,2017/9/17,124113,3,8,3,502,0,228,228,1,59,1958/4/29,11210,2,423,4,423,2,1,8,3500000,26,7,26,0,2,3,0,0,2,2,0,0,0,0,0,2017/9/17,0
1008072,2017/9/18,171756,5,99,3,1,470,470,228,2,48,1968/12/23,11221,2,640,6,640,2,2,6,3000000,26,4,20,70000,1,1,0,0,2,1,0,0,0,0,0,2017/9/19,0
1008077,2017/9/22,112159,3,2,0,1701,0,228,228,1,37,1980/7/15,11242,2,108,1,108,1,1,9,6400000,125,2,125,80000,2,4,1,0,1,3,1,4,1,1,0,2017/9/25,0
1008078,2017/9/25,120722,5,99,0,1,1272,1272,228,1,25,1992/8/4,11349,1,640,6,640,4,1,2,780000,71,8,301,0,4,3,0,0,1,0,0,0,3,0,0,2017/9/25,0
1008079,2017/9/19,93651,4,2,0,1701,0,4182,228,1,20,1997/9/5,11361,1,540,5,540,4,1,3,1200000,27,1,88,0,4,1,0,0,1,0,0,0,2,0,0,2017/10/14,1
1008080,2017/9/28,125359,4,2,0,1701,1564,1564,228,2,21,1995/11/8,11206,1,209,2,209,3,1,6,2500000,22,4,127,0,4,3,0,0,1,2,0,0,0,0,0,2017/9/29,0
1008081,2017/9/29,134512,5,99,0,1,2853,2853,228,1,21,1996/8/29,11105,1,540,5,540,4,1,3,1000000,21,4,121,0,4,3,0,0,1,0,0,0,0,0,0,2017/9/29,0
1008083,2017/9/29,175845,1,99,0,1701,0,228,228,1,23,1994/9/6,11212,1,540,5,540,3,1,4,3000000,29,4,6,10000,5,1,0,0,2,0,0,0,0,0,0,2017/9/30,1
1008084,2017/9/30,115951,1,99,1,101,1597,1597,228,1,36,1981/6/22,11233,1,630,6,630,1,1,9,7200000,125,4,13,41000,5,4,0,0,2,0,0,0,0,5,0,2017/9/30,0
1008085,2017/9/29,104739,4,2,0,1801,0,228,228,2,24,1993/6/14,11239,1,525,5,525,2,1,4,8580000,30,8,292,0,4,3,0,0,1,0,0,0,3,0,0,2017/10/8,0
1008087,2017/10/4,70056,3,2,0,1701,0,228,228,1,49,1968/5/5,11246,2,209,2,209,2,1,8,3000000,219,2,118,68000,1,1,0,0,1,1,0,4,1,0,0,2017/10/6,0
1008089,2017/9/30,115447,3,15,1,502,3133,3133,228,1,44,1972/12/10,11208,1,423,4,423,2,1,8,3000000,22,8,367,0,4,3,0,0,1,0,0,0,3,0,0,2017/10/6,0
1008090,2017/10/3,200738,1,99,0,1701,0,228,228,1,24,1993/2/18,11224,1,423,4,423,2,1,6,3000000,0,8,295,0,4,3,0,0,1,0,0,0,3,0,0,2017/10/8,0
1008091,2017/10/9,152758,3,2,3,1701,0,228,228,1,24,1993/9/13,11222,2,740,7,740,2,1,4,5600000,21,4,22,67000,2,1,0,0,1,3,1,0,0,0,0,2017/10/13,0
1008092,2017/10/13,64033,3,8,0,1801,0,228,228,2,49,1968/3/7,11237,2,525,5,525,1,1,9,800000,31,4,52,83000,1,4,0,0,1,1,0,0,0,9,0,2017/10/20,0
1008094,2017/10/15,213833,5,99,3,1,1936,1936,228,1,45,1971/11/19,11108,1,540,5,540,4,1,4,3053000,67,4,55,36000,5,3,1,0,2,0,0,8,0,0,0,2017/10/22,0
1008095,2017/10/15,191446,4,2,3,1701,0,4182,228,1,53,1964/9/15,11203,2,140,1,140,2,1,4,5734000,293,4,249,60000,3,1,1,0,1,4,3,1,0,0,0,2018/4/7,0
1008097,2017/10/15,172801,1,99,3,1701,0,228,228,1,22,1995/1/24,11201,1,640,6,640,5,2,5,1200000,0,5,95,0,4,3,0,0,1,0,0,0,0,0,0,2017/10/17,0
1008098,2017/10/16,182455,4,2,0,1701,0,228,228,2,24,1993/6/24,11105,2,1340,13,1340,2,1,6,2500000,18,4,12,67000,2,1,0,0,1,2,0,0,0,0,0,2017/10/17,0
1008099,2017/10/18,231910,4,2,0,1701,0,228,228,1,36,1980/11/27,11221,2,640,6,640,2,2,5,3000000,43,4,43,66000,2,1,0,0,1,2,1,0,0,0,0,2017/10/19,0
1008100,2017/10/20,82957,4,99,0,1801,0,228,228,1,25,1992/4/2,11104,1,1340,13,1340,4,1,3,400000,10,4,66,0,5,3,0,0,2,0,0,0,0,0,0,2017/10/27,0
1008101,2017/10/20,73449,3,2,0,1701,0,228,228,2,21,1996/2/18,11203,1,1505,15,1505,3,1,5,3000000,7,8,204,0,4,3,0,0,1,0,0,0,3,0,0,2017/10/20,0
1008104,2017/11/2,172748,1,99,0,0,0,228,228,1,63,1954/9/5,11210,2,740,7,740,3,1,4,2600000,110,1,273,0,1,1,0,0,1,1,0,0,1,0,0,2017/11/2,0
1008105,2017/11/2,203425,4,2,0,1701,0,228,228,1,20,1997/6/3,11201,1,240,2,240,2,1,3,2000000,19,4,1,57000,5,1,0,0,2,0,0,0,0,0,0,2017/11/4,0
1008106,2017/11/2,115030,3,2,0,1801,1235,1235,228,1,32,1985/9/21,12224,2,640,6,640,2,1,7,4500000,47,4,45,63000,2,1,0,0,1,3,1,0,0,0,0,2017/11/5,0
1008107,2017/11/8,114209,3,22,0,1801,0,228,228,1,35,1982/7/25,11208,1,640,6,640,2,2,5,3370000,1,4,101,45000,5,1,0,0,2,0,0,0,0,0,0,2017/11/9,1
1008108,2017/11/10,114730,1,99,0,102,1814,1814,228,1,39,1978/1/26,11241,2,640,6,640,2,1,2,4600000,15,2,140,77000,3,1,0,0,1,4,3,0,1,0,0,2017/11/10,0
1008109,2017/11/12,100505,5,99,3,1,3133,3133,228,1,20,1997/10/26,13121,1,640,6,640,4,1,3,2500000,8,8,125,0,4,3,0,0,1,0,0,0,3,0,0,2017/11/12,0
1008110,2017/11/12,155540,4,2,3,1701,0,228,228,1,23,1994/7/20,11224,1,1340,13,1340,2,1,7,3200000,7,4,7,69000,5,1,0,0,2,0,0,0,0,0,0,2017/11/18,0
1008111,2017/11/12,202141,3,27,3,1801,0,228,228,2,52,1965/5/12,11214,1,640,6,640,4,1,5,2000000,3,4,173,47000,5,3,0,0,2,0,0,0,0,0,0,2017/11/14,0
1008112,2017/11/16,82042,3,27,0,1801,0,228,228,1,34,1983/3/22,11110,2,640,6,640,2,1,6,3600000,42,4,42,60000,2,1,0,0,1,3,2,0,0,0,0,2017/11/16,0
1008113,2017/11/16,134356,3,15,0,1701,0,228,228,2,21,1996/4/3,11107,1,540,5,540,4,1,7,700000,31,4,175,9000,4,1,0,0,1,5,3,0,0,0,0,2017/11/19,0
1008114,2017/11/22,112654,5,99,0,1,3140,3140,228,2,23,1994/3/5,11216,1,631,6,631,3,1,3,2400000,43,8,284,0,4,1,0,0,1,0,0,0,3,0,0,2017/11/22,0
1008115,2017/11/16,121356,3,8,0,1701,0,228,228,1,44,1973/3/13,11201,2,209,2,209,2,1,5,4500000,103,1,223,0,3,3,0,0,1,6,2,0,2,0,0,2017/11/27,0
1008116,2017/11/24,130117,5,99,0,1,2845,2845,228,1,39,1978/10/19,11222,1,640,6,640,5,2,3,2400000,2,4,25,0,5,3,0,0,2,0,0,0,0,0,0,2017/11/24,1
1008117,2017/11/26,115249,4,2,3,502,1235,1235,228,2,65,1952/2/14,12208,2,140,1,140,2,1,7,6000000,429,8,343,0,1,1,0,0,1,1,0,0,3,0,0,2017/11/28,0
1008118,2017/11/26,231552,4,99,0,502,0,228,228,2,22,1995/10/17,11231,1,140,1,140,4,1,4,1320000,1,1,8,0,5,3,0,0,2,0,0,0,2,0,0,2017/11/29,0
1008119,2017/11/30,114610,5,99,0,1,1027,1027,228,1,20,1997/5/31,11238,1,540,5,540,4,1,4,1320000,53,1,191,0,4,1,0,0,1,0,0,0,1,0,0,2017/11/30,0
1008121,2017/12/4,140143,1,99,0,1,2823,2823,228,1,21,1996/8/20,11228,1,540,5,540,4,1,6,2000000,67,4,104,0,4,3,0,0,1,0,0,0,0,0,0,2017/12/4,0
1008122,2017/12/4,84153,3,22,0,1801,0,228,228,2,20,1997/10/28,11208,1,1540,15,1540,4,1,6,4200000,13,8,199,0,4,3,0,0,1,0,0,0,3,0,0,2017/12/6,1
1008123,2017/12/7,153956,2,2,0,1701,0,228,228,1,21,1996/10/29,11211,1,540,5,540,4,1,6,3100000,30,8,231,0,4,3,0,0,1,0,0,0,3,0,0,2017/12/8,0
1008124,2017/12/8,122701,3,27,0,1701,1865,1865,228,1,24,1993/8/18,11223,1,1340,13,1340,4,1,7,1200000,35,4,45,50000,4,1,0,0,1,0,0,0,0,0,0,2017/12/8,0
1008125,2017/12/10,123033,1,99,3,502,0,228,228,1,49,1968/3/16,11230,1,240,2,240,5,1,6,3000000,20,8,597,0,4,3,0,0,1,0,0,0,3,0,0,2017/12/10,1
1008127,2017/12/12,127,1,99,0,1701,0,228,228,2,23,1994/11/15,11101,1,1340,13,1340,4,1,7,1030000,16,8,232,0,4,1,0,0,1,0,0,0,3,0,0,2017/12/12,0
1008128,2017/12/16,161332,1,99,1,1,1929,1929,228,1,27,1990/4/16,11106,1,640,6,640,4,1,6,3000000,24,1,252,0,4,3,0,0,1,0,0,0,3,0,0,2018/2/11,0
1008129,2017/12/18,111646,3,2,0,1801,0,228,228,1,46,1971/5/11,11208,2,240,2,240,2,1,3,5000000,230,4,262,70000,2,1,0,0,1,3,2,0,0,0,0,2017/12/18,0
1008130,2017/12/19,101910,3,15,0,1801,0,228,228,2,52,1965/11/12,11225,1,1340,13,1340,4,1,6,2000000,8,5,177,20000,5,3,0,0,2,1,1,0,0,0,0,2017/12/19,0
1008131,2017/12/19,144947,3,8,0,1801,0,228,228,1,28,1989/2/8,11214,2,631,6,631,1,1,9,3600000,19,4,19,0,3,4,0,0,1,7,4,0,0,9,0,2017/12/19,0
1008132,2017/12/20,110335,1,99,0,502,0,228,228,1,29,1988/12/12,11234,1,240,2,240,2,1,7,3240000,32,8,148,0,4,1,0,0,1,0,0,0,3,0,0,2017/12/20,0
1008134,2017/12/19,182813,1,99,0,1701,0,228,228,2,30,1987/9/22,11214,1,108,1,108,2,1,7,3500000,63,8,336,0,4,3,0,0,1,0,0,0,3,0,0,2018/3/12,0
1008135,2017/12/28,125736,3,2,0,1701,0,228,228,1,24,1993/4/8,11225,1,108,1,108,1,1,9,4000000,3,4,2,27000,5,4,0,0,2,0,0,0,0,9,0,2017/12/29,0
1008136,2017/12/30,114840,5,99,1,1,3195,3195,228,1,23,1994/11/5,11232,1,540,5,540,2,1,2,3000000,44,8,277,0,5,1,0,0,2,0,0,0,3,0,0,2017/12/30,0
1008139,2018/1/10,124239,3,24,0,502,0,228,228,2,48,1969/9/28,11326,2,840,8,840,2,1,4,4011000,46,8,12,0,1,1,1,0,1,1,0,1,3,0,0,2018/1/10,0
1008140,2018/1/12,151503,3,15,0,1801,0,228,228,1,36,1981/3/4,11203,1,1328,13,1328,2,1,2,3500000,105,4,60,85000,4,3,0,0,1,2,2,0,0,0,0,2018/1/13,0
1008142,2018/1/13,71054,3,2,1,1701,0,228,228,1,20,1997/5/16,11239,1,631,6,631,2,1,6,1594000,21,4,248,0,4,3,1,0,1,4,0,1,0,0,0,2018/1/14,0
1008143,2018/1/13,222623,2,24,3,1701,237,237,228,2,45,1972/5/1,11201,2,631,6,631,1,1,9,1571000,35,4,46,60000,2,4,0,0,2,2,1,0,0,9,0,2018/1/17,0
1008144,2018/1/19,161420,3,2,0,1801,0,228,228,1,31,1986/4/9,11201,1,640,6,640,4,1,6,1500000,0,9,201,30000,4,3,0,0,1,0,0,0,3,0,0,2018/1/19,0
1008145,2018/1/19,185108,3,33,0,1801,0,228,228,1,65,1952/11/16,11109,2,715,7,715,3,1,5,5500000,141,2,264,110000,3,3,0,0,1,7,5,0,1,0,0,2018/1/21,0
1008147,2018/1/25,100717,5,99,0,1,193,193,228,1,57,1960/7/23,11208,1,640,6,640,3,1,3,3200000,89,4,58,41000,5,1,0,0,2,0,0,0,0,0,0,2018/1/25,0
1008148,2018/1/25,82918,3,8,0,1801,0,228,228,1,53,1964/12/17,11203,1,640,6,640,2,1,6,4500000,126,1,43,0,4,1,0,0,1,0,0,0,2,0,0,2018/1/25,0
1008149,2018/1/26,151508,3,15,0,1801,0,4182,228,1,56,1961/5/30,11235,1,640,6,640,2,2,3,2500000,69,4,67,40000,5,1,0,0,2,0,0,0,0,0,0,2018/2/1,0
1008150,2018/1/29,112520,2,24,0,1701,0,228,228,1,35,1982/11/10,11361,1,640,6,640,4,1,5,1982000,61,4,105,0,4,1,1,0,1,0,0,1,0,0,0,2018/1/29,0
1008151,2018/1/29,165256,5,99,0,1,1695,1695,228,1,59,1958/5/30,11228,2,631,6,631,3,1,2,4000000,25,2,348,42000,1,1,0,0,1,1,0,0,1,0,0,2018/2/4,0
1008152,2018/1/31,132813,5,99,0,1,1565,1565,228,1,21,1996/12/25,11203,1,540,5,540,4,1,8,960000,48,4,253,0,4,3,0,0,1,0,0,0,0,0,0,2018/1/31,0
1008154,2018/2/2,134138,3,2,0,1701,1663,1663,228,1,34,1983/7/25,11203,1,631,6,631,2,1,8,3700000,154,8,415,0,4,3,0,0,1,0,0,0,3,0,0,2018/2/2,0
1008155,2018/2/4,152228,5,99,3,5,237,237,228,1,43,1974/12/25,11201,2,640,6,640,5,2,5,2400000,39,1,484,0,1,1,0,0,1,1,0,0,1,0,0,2018/2/4,0
1008157,2018/2/7,110035,5,99,0,1,1217,1217,228,1,46,1971/4/8,11301,2,640,6,640,4,1,7,800000,178,1,200,0,2,3,0,0,1,3,2,0,2,0,0,2018/2/7,0
1008159,2018/2/5,200245,4,99,0,1701,0,228,228,2,20,1997/7/4,11203,1,540,5,540,4,1,2,840000,46,4,23,73000,4,3,0,0,1,0,0,0,0,0,0,2018/2/9,0
1008160,2018/2/9,200141,5,99,0,1,2853,2853,228,2,51,1966/10/24,11104,2,940,9,940,2,1,3,4000000,71,4,37,0,1,1,0,0,2,1,0,0,0,0,0,2018/2/12,0
1008161,2018/2/12,110731,3,17,3,1701,0,228,228,2,25,1992/7/23,11223,2,840,8,840,2,1,3,6000000,34,4,20,8000,1,1,0,0,1,1,0,0,0,0,0,2018/2/12,0
1008162,2018/2/15,205850,5,99,0,1,228,228,228,1,20,1997/2/27,11203,1,540,5,540,3,1,6,1960000,35,8,252,0,4,1,0,0,1,0,0,0,3,0,0,2018/2/15,0
1008164,2018/2/22,170126,1,99,0,1801,0,228,228,1,37,1980/11/4,11208,1,540,5,540,2,1,4,1680000,9,4,80,53000,5,1,0,0,2,0,0,0,0,0,0,2018/2/22,0
1008165,2018/2/22,123629,1,99,0,1701,0,228,228,1,28,1989/7/26,11203,2,640,6,640,2,1,4,5500000,118,4,24,80000,2,1,0,0,1,3,0,0,0,0,0,2018/2/25,1
1008166,2018/2/22,10451,3,2,0,1701,0,228,228,1,49,1968/12/2,11214,1,640,6,640,2,1,5,2910000,227,4,32,0,5,1,0,0,2,0,0,0,0,0,0,2018/2/24,0
1008167,2018/2/27,141449,3,15,0,1701,0,228,228,2,22,1996/2/15,11109,1,540,5,540,4,1,8,1250000,9,4,119,60000,4,1,0,0,1,1,1,0,0,0,0,2018/3/3,1
1008169,2018/3/4,90944,5,99,3,1,1831,1831,228,1,20,1998/1/29,11222,1,631,6,631,2,1,6,5000000,15,8,167,0,4,3,0,0,1,0,0,0,3,0,0,2018/3/5,0
1008170,2018/3/4,135653,5,99,3,1,798,798,228,2,24,1993/3/15,10202,2,640,6,640,2,2,4,1920000,2,8,20,0,1,1,0,0,1,1,0,0,3,0,0,2018/3/4,0
1008171,2018/3/4,102216,3,26,3,1801,0,228,228,1,58,1959/6/3,11324,2,740,7,740,2,1,3,7410000,335,2,286,85000,3,1,1,0,1,4,2,1,1,0,0,2018/3/11,0
1008174,2018/3/6,233646,3,18,0,502,0,228,228,1,64,1953/10/13,11203,2,423,4,423,3,1,7,3840000,16,4,22,0,2,3,1,0,1,2,0,2,0,0,0,2018/3/12,0
1008175,2018/3/7,120248,1,99,0,1701,0,228,228,1,30,1988/2/16,11219,2,1328,13,1328,1,1,9,2700000,5,4,9,59000,1,4,0,0,1,1,0,0,0,9,0,2018/3/22,0
